t,feature_0,feature_1,feature_2,feature_3,event_indicator,time_to_event
0,3.5930233,100.0,0.0,10000.0,1,42
1,3.5882354,97.5,0.0,9750.0,1,41
2,3.5697675,95.0,0.0,9500.0,1,40
3,3.597826,92.5,0.0,9250.0,1,39
4,3.588889,90.0,0.0,9000.0,1,38
5,3.6022727,87.5,0.0,8750.0,1,37
6,3.5955057,85.0,0.0,8500.0,1,36
7,3.5955057,82.5,0.0,8250.0,1,35
8,3.5777779,80.0,0.0,8000.0,1,34
9,3.588889,77.5,0.0,7750.0,1,33
10,3.5777779,75.0,0.0,7500.0,1,32
11,3.5882354,72.5,0.0,7250.0,1,31
12,3.586207,70.075,0.025,7007.5,1,30
13,3.6043956,67.64,0.03,6764.0,1,29
14,3.5813954,65.17,0.015,6517.0,1,28
15,3.6136363,62.72,0.02,6272.0,1,27
16,3.6236558,60.245,0.01,6024.5,1,26
17,3.6477273,57.81,0.035,5781.0,1,25
18,3.652174,55.415,0.04,5541.5,1,24
19,3.659091,53.1,0.065,5310.0,1,23
20,3.6666667,50.82,0.07,5082.0,1,22
21,3.702381,48.48,0.075,4848.0,1,21
22,3.6976745,46.16,0.11,4616.0,1,20
23,3.6941175,43.95,0.11,4395.0,1,19
24,3.642857,41.855,0.175,4185.5,1,18
25,3.6352942,39.995,0.26,3999.5,1,17
26,3.6705883,38.155,0.25,3815.5,1,16
27,3.6136363,36.285,0.235,3628.5,1,15
28,3.6506023,34.49,0.255,3449.0,1,14
29,3.6363637,32.825,0.31,3282.5,1,13
30,3.639535,31.295,0.36,3129.5,1,12
31,3.6153846,29.765,0.335,2976.5,1,11
32,3.6777778,28.34,0.355,2834.0,1,10
33,3.659091,26.9,0.395,2690.0,1,9
34,3.6321838,25.53,0.425,2553.0,1,8
35,3.6436782,24.225,0.455,2422.5,1,7
36,3.6511629,23.035,0.47,2303.5,1,6
37,3.6067417,21.91,0.535,2191.0,1,5
38,3.6222222,20.895,0.54,2089.5,1,4
39,3.6436782,19.77,0.49,1977.0,1,3
40,3.6588235,18.63,0.5,1863.0,1,2
41,3.6547618,17.625,0.56,1762.5,1,1
42,3.6463416,16.75,0.6,1675.0,1,0
